Results Table 1


Results Table 2



Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-0.0001","0.0020"
"0.0200","-0.0001","0.0020"
"0.0400","-0.0001","0.0020"
"0.0600","0.0001","0.0020"
"0.0800","0.0004","0.0020"
"0.1000","0.0008","0.0020"
"0.1200","0.0014","0.0020"
"0.1400","0.0019","0.0020"
"0.1600","0.0023","0.0020"
"0.1800","0.0027","0.0020"
"0.2000","0.0031","0.0020"
"0.2200","0.0035","0.0019"
"0.2400","0.0039","0.0019"
"0.2600","0.0042","0.0020"
"0.2800","0.0046","0.0019"
"0.3000","0.0049","0.0020"
"0.3200","0.0052","0.0020"
"0.3400","0.0055","0.0020"
"0.3600","0.0058","0.0020"
"0.3800","0.0063","0.0020"
"0.4000","0.0066","0.0020"
"0.4200","0.0070","0.0019"
"0.4400","0.0073","0.0019"
"0.4600","0.0076","0.0020"
"0.4800","0.0079","0.0020"
"0.5000","0.0082","0.0019"
"0.5200","0.0086","0.0020"
"0.5400","0.0090","0.0020"
"0.5600","0.0093","0.0020"
"0.5800","0.0096","0.0020"
"0.6000","0.0099","0.0019"
"0.6200","0.0102","0.0020"
"0.6400","0.0104","0.0020"
"0.6600","0.0108","0.0019"
"0.6800","0.0112","0.0019"
"0.7000","0.0116","0.0019"
"0.7200","0.0120","0.0020"
"0.7400","0.0123","0.0020"
"0.7600","0.0126","0.0020"
"0.7800","0.0129","0.0020"
"0.8000","0.0132","0.0020"
"0.8200","0.0136","0.0020"
"0.8400","0.0139","0.0019"
"0.8600","0.0143","0.0019"
"0.8800","0.0146","0.0020"
"0.9000","0.0149","0.0020"
"0.9200","0.0152","0.0020"
"0.9400","0.0155","0.0020"
"0.9600","0.0159","0.0020"
"0.9800","0.0162","0.0020"
"1.0000","0.0166","0.0019"
"1.0200","0.0170","0.0019"
"1.0400","0.0173","0.0019"
"1.0600","0.0176","0.0020"
"1.0800","0.0179","0.0020"
"1.1000","0.0182","0.0020"
"1.1200","0.0186","0.0020"
"1.1400","0.0190","0.0020"
"1.1600","0.0193","0.0020"
"1.1800","0.0197","0.0020"
"1.2000","0.0199","0.0020"
"1.2200","0.0202","0.0020"
"1.2400","0.0205","0.0020"
"1.2600","0.0208","0.0020"
"1.2800","0.0212","0.0020"
"1.3000","0.0216","0.0020"
"1.3200","0.0220","0.0020"
"1.3400","0.0223","0.0020"
"1.3600","0.0226","0.0020"
"1.3800","0.0229","0.0020"
"1.4000","0.0232","0.0019"
"1.4200","0.0235","0.0019"
"1.4400","0.0239","0.0019"
"1.4600","0.0243","0.0019"
"1.4800","0.0246","0.0020"
"1.5000","0.0249","0.0020"
"1.5200","0.0252","0.0019"
"1.5400","0.0255","0.0020"
"1.5600","0.0258","0.0019"
"1.5800","0.0261","0.0020"
"1.6000","0.0265","0.0020"
"1.6200","0.0269","0.0020"
"1.6400","0.0273","0.0019"
"1.6600","0.0276","0.0020"
"1.6800","0.0279","0.0020"
"1.7000","0.0282","0.0019"
"1.7200","0.0286","0.0019"
"1.7400","0.0289","0.0019"
"1.7600","0.0293","0.0019"
"1.7800","0.0297","0.0020"
"1.8000","0.0300","0.0020"
"1.8200","0.0303","0.0020"
"1.8400","0.0305","0.0020"
"1.8600","0.0309","0.0020"
"1.8800","0.0312","0.0020"
"1.9000","0.0316","0.0020"
"1.9200","0.0319","0.0019"
"1.9400","0.0323","0.0020"
"1.9600","0.0326","0.0019"
"1.9800","0.0329","0.0020"
"2.0000","0.0332","0.0020"
"2.0200","0.0335","0.0019"
"2.0400","0.0339","0.0019"
"2.0600","0.0342","0.0019"
"2.0800","0.0346","0.0019"
"2.1000","0.0349","0.0020"
"2.1200","0.0352","0.0020"
"2.1400","0.0355","0.0019"
"2.1600","0.0358","0.0019"
"2.1800","0.0362","0.0020"
"2.2000","0.0365","0.0020"
"2.2200","0.0369","0.0020"
"2.2400","0.0373","0.0020"
"2.2600","0.0377","0.0020"
"2.2800","0.0380","0.0020"
"2.3000","0.0383","0.0020"
"2.3200","0.0386","0.0020"
"2.3400","0.0390","0.0020"
"2.3600","0.0394","0.0020"
"2.3800","0.0398","0.0020"
"2.4000","0.0401","0.0020"
"2.4200","0.0403","0.0020"
"2.4400","0.0406","0.0021"
"2.4600","0.0409","0.0021"
"2.4800","0.0411","0.0021"
"2.5000","0.0415","0.0021"
"2.5200","0.0419","0.0021"
"2.5400","0.0423","0.0021"
"2.5600","0.0426","0.0022"
"2.5800","0.0430","0.0022"
"2.6000","0.0433","0.0022"
"2.6200","0.0436","0.0022"
"2.6400","0.0439","0.0023"
"2.6600","0.0442","0.0023"
"2.6800","0.0446","0.0023"
"2.7000","0.0449","0.0024"
"2.7200","0.0453","0.0024"
"2.7400","0.0455","0.0025"
"2.7600","0.0459","0.0025"
"2.7800","0.0462","0.0026"
"2.8000","0.0465","0.0026"
"2.8200","0.0469","0.0027"
"2.8400","0.0472","0.0028"
"2.8600","0.0477","0.0029"
"2.8800","0.0480","0.0030"
"2.9000","0.0483","0.0031"
"2.9200","0.0486","0.0031"
"2.9400","0.0490","0.0032"
"2.9600","0.0493","0.0033"
"2.9800","0.0497","0.0034"
"3.0000","0.0500","0.0035"
"3.0200","0.0504","0.0036"
"3.0400","0.0506","0.0037"
"3.0600","0.0509","0.0038"
"3.0800","0.0512","0.0039"
"3.1000","0.0515","0.0040"
"3.1200","0.0519","0.0041"
"3.1400","0.0522","0.0042"
"3.1600","0.0526","0.0043"
"3.1800","0.0530","0.0044"
"3.2000","0.0532","0.0046"
"3.2200","0.0536","0.0047"
"3.2400","0.0539","0.0049"
"3.2600","0.0542","0.0049"
"3.2800","0.0545","0.0050"
"3.3000","0.0549","0.0051"
"3.3200","0.0552","0.0053"
"3.3400","0.0556","0.0055"
"3.3600","0.0559","0.0056"
"3.3800","0.0561","0.0057"
"3.4000","0.0565","0.0058"
"3.4200","0.0568","0.0060"
"3.4400","0.0573","0.0061"
"3.4600","0.0576","0.0063"
"3.4800","0.0580","0.0064"
"3.5000","0.0583","0.0066"
"3.5200","0.0586","0.0067"
"3.5400","0.0589","0.0068"
"3.5600","0.0593","0.0069"
"3.5800","0.0597","0.0071"
"3.6000","0.0601","0.0072"
"3.6200","0.0604","0.0074"
"3.6400","0.0606","0.0076"
"3.6600","0.0609","0.0077"
"3.6800","0.0612","0.0078"
"3.7000","0.0615","0.0079"
"3.7200","0.0618","0.0081"
"3.7400","0.0622","0.0083"
"3.7600","0.0626","0.0085"
"3.7800","0.0629","0.0087"
"3.8000","0.0633","0.0089"
"3.8200","0.0636","0.0091"
"3.8400","0.0639","0.0093"
"3.8600","0.0642","0.0094"
"3.8800","0.0646","0.0096"
"3.9000","0.0649","0.0098"
"3.9200","0.0653","0.0100"
"3.9400","0.0656","0.0103"
"3.9600","0.0659","0.0105"
"3.9800","0.0662","0.0107"
"4.0000","0.0665","0.0109"
"4.0200","0.0669","0.0111"
"4.0400","0.0672","0.0114"
"4.0600","0.0676","0.0116"
"4.0800","0.0680","0.0119"
"4.1000","0.0683","0.0121"
"4.1200","0.0686","0.0124"
"4.1400","0.0689","0.0126"
"4.1600","0.0693","0.0128"
"4.1800","0.0696","0.0130"
"4.2000","0.0700","0.0133"
"4.2200","0.0703","0.0135"
"4.2400","0.0707","0.0138"
"4.2600","0.0709","0.0140"
"4.2800","0.0712","0.0142"
"4.3000","0.0715","0.0144"
"4.3200","0.0718","0.0146"
"4.3400","0.0722","0.0148"
"4.3600","0.0725","0.0151"
"4.3800","0.0729","0.0153"
"4.4000","0.0733","0.0156"
"4.4200","0.0736","0.0159"
"4.4400","0.0739","0.0162"
"4.4600","0.0742","0.0164"
"4.4800","0.0746","0.0166"
"4.5000","0.0749","0.0168"
"4.5200","0.0753","0.0171"
"4.5400","0.0756","0.0174"
"4.5600","0.0760","0.0177"
"4.5800","0.0762","0.0179"
"4.6000","0.0766","0.0181"
"4.6200","0.0769","0.0183"
"4.6400","0.0772","0.0185"
"4.6600","0.0776","0.0188"
"4.6800","0.0779","0.0190"
"4.7000","0.0783","0.0194"
"4.7200","0.0786","0.0197"
"4.7400","0.0790","0.0199"
"4.7600","0.0792","0.0201"
"4.7800","0.0796","0.0204"
"4.8000","0.0800","0.0206"
"4.8200","0.0803","0.0209"
"4.8400","0.0807","0.0212"
"4.8600","0.0810","0.0215"
"4.8800","0.0813","0.0218"
"4.9000","0.0815","0.0220"
"4.9200","0.0818","0.0221"
"4.9400","0.0821","0.0224"
"4.9600","0.0825","0.0227"
